L,N_single_rail,N_two_rail_zigzag,static_cx_closed,static_cx,static_depth,zigzag_cx_closed,zigzag_cx,zigzag_depth,swap_cx_closed,swap_cx,swap_depth
1,2,4,1,1,2,5,5,6,1,1,3
2,3,6,3,3,4,7,7,8,,,
3,4,8,5,5,6,13,13,14,3,3,5
4,5,10,7,7,8,15,15,16,,,
5,6,12,9,9,10,21,21,22,5,5,5
6,7,14,11,11,12,23,23,24,,,
7,8,16,13,13,14,29,29,30,7,7,5
8,9,18,15,15,16,31,31,32,,,
9,10,20,17,17,18,37,37,38,9,9,5
10,11,22,19,19,20,39,39,40,,,
